id,title,authors,abstract,published_date,category,url,last_updated
2601.16953,Distribution of independent sets in perfect $r$-ary trees,"Daniel Iľkovič, Jun Yan",given a graph g the family of all independent sets of size k containing a fixed vertex v is called a star with centre v and is denoted by mathcali_gkv motivated by a generalisation of the erdőskorado theorem to the setting of independent sets in graphs hurlbert and kamat conjectured that for every tree t and every k the maximum of mathcali_tkv can always be attained by a leaf of t while this conjecture turns out to be false in general it is known to hold for specific families of trees like spiders and caterpillars in this paper we prove that this conjecture holds for a new family of trees the perfect rary trees by constructing injections from stars centred at arbitrary vertices to stars centred at leaves we also show that the analogous property holds for every forest mathcalt that is the disjoint union of perfect trees with possibly varying sizes and arities and determine the leaf that maximises mathcali_mathcaltkv,[Submitted on 23 Jan 2026],Combinatorics (math.CO),https://arxiv.org/abs/2601.16953,2026-01-27 17:52:59.692787
2601.17818,ViTCoP: Accelerating Large Vision-Language Models via Visual and Textual Semantic Collaborative Pruning,"Wen Luo, Peng Chen, Xiaotao Huang, LiQun Huang",large visionlanguage models lvlms incur high computational costs due to significant redundancy in their visual tokens to effectively reduce this cost researchers have proposed various visual token pruning methods however existing methods are generally limited either losing critical visual information prematurely due to pruning in the vision encoder or leading to information redundancy among the selected tokens due to pruning in the large language models llms to address these challenges we propose a visual and textual semantic collaborative pruning framework vitcop that combines redundancy filtering in the vision encoder with stepwise copruning within the llm based on its hierarchical characteristics to efficiently preserve critical and informationally diverse visual tokens meanwhile to ensure compatibility with acceleration techniques like flashattention we introduce the l2 norm of kvectors as the token saliency metric in the llm extensive experiments on various large visionlanguage models demonstrate that vitcop not only achieves stateoftheart performance surpassing existing methods on both image and video understanding tasks but also significantly reduces model inference latency and gpu memory consumption notably its performance advantage over other methods becomes even more pronounced under extreme pruning rates,[Submitted on 25 Jan 2026],Computer Vision and Pattern Recognition (cs.CV),https://arxiv.org/abs/2601.17818,2026-01-27 17:52:59.692787
2601.17999,Application of log-Chebyshev approximation and tropical algebra to multicriteria problems of pairwise comparisons,Nikolai Krivulin,we consider multicriteria problems of evaluating absolute ratings scores priorities weights of given alternatives for making decisions which are compared in pairs under several criteria given matrices of pairwise comparisons of alternatives for each criterion and a matrix of pairwise comparisons of the criteria the aim is to calculate a vector of individual ratings of alternatives we formulate the problem as the chebyshev approximation of matrices on the logarithmic scale by a common consistent matrix a symmetrically reciprocal matrix of unit rank we rearrange the approximation problem as a multiobjective optimization problem of finding a vector that determines the consistent matrix and hence yields a vector of ratings in question the problem is then transformed into a series of optimization problems in the framework of tropical algebra which focuses on the theory and application of algebraic systems with idempotent operations to solve the optimization problems we apply methods and results of tropical optimization which yield analytical solutions in a form ready for further analysis and straightforward computation to illustrate the technique implemented we give a numerical example of solving a known problem and compare the obtained solution with results provided by classical methods of analytic hierarchy process and weighted geometrical means,[Submitted on 25 Jan 2026],Optimization and Control (math.OC),https://arxiv.org/abs/2601.17999,2026-01-27 17:52:59.692787
2601.17573,Weakly and Strongly Admissible Triplets for a Collatz-Type Map,Abderrahman Bouhamidi,in this paper we investigate a class of collatzlike problems associated with weakly and strongly admissible triplets of integers this framework extends the classical collatz mapping providing a systematic method for generating triplets with convergence to cycles thereby bypassing the difficulties inherent in solving diophantine equations we introduce several special families of admissible triplets and establish general structural properties in addition we propose conjectures that generalize the classical collatz conjecture bounds on the lengths of potential nontrivial cycles are derived and analyzed and two algorithms are presented for computing lower bounds on cycle lengths finally experimental tests are given to illustrate our approach,[Submitted on 24 Jan 2026],General Mathematics (math.GM),https://arxiv.org/abs/2601.17573,2026-01-27 17:52:59.692787
2601.18304,On the inclusion of bounded harmonic functions of random walks,"Yair Hartman, Aranka Hrušková, Omer Segev",we investigate the conditions under which the space of bounded harmonic functions of a probability measure mu on a group g is contained in that of another measure theta we establish that asymptotic commutativity defined by the condition muttheta  thetamut_tv to 0 as t to infty is sufficient to guarantee the inclusion hinftyg mu subseteq hinftyg theta provided theta is absolutely continuous with respect to a convex combination of convolution powers of mu by employing martingale convergence techniques rather than ergodictheoretic arguments we demonstrate that this result holds without topological assumptions on g such as local compactness and extends to general markov chains furthermore utilizing hitting models for the poisson boundary we characterise the inclusion hinftyg mu subseteq hinftyg theta as equivalent to the asymptotic invariance of theta under mu in the weak topology we apply these results to provide a probabilistic proof of the choquetdeny theorem for nilpotent groups among other applications,[Submitted on 26 Jan 2026],Probability (math.PR),https://arxiv.org/abs/2601.18304,2026-01-27 17:52:59.692787
2601.1867,COMETS: Coordinated Multi-Destination Video Transmission with In-Network Rate Adaptation,"Yulong Zhang, Ying Cui, Zili Meng, Abhishek Kumar, Dirk Kutscher",largescale video streaming events attract millions of simultaneous viewers stressing existing delivery infrastructures clientdriven adaptation reacts slowly to shared congestion while serverbased coordination introduces scalability bottlenecks and single points of failure we present comets a coordinated multidestination video transmission framework that leverages informationcentric networking principles such as request aggregation and innetwork state awareness to enable scalable fair and adaptive rate control comets introduces a novel rangeinterest protocol and distributed innetwork decision process that aligns video quality across receiver groups while minimizing redundant transmissions to achieve this we develop a lightweight distributed optimization framework that guides perhop quality adaptation without centralized control extensive emulation shows that comets consistently improves bandwidth utilization fairness and userperceived quality of experience over dash moq and icn baselines particularly under high concurrency the results highlight comets as a practical deployable approach for nextgeneration scalable video delivery,[Submitted on 26 Jan 2026],Networking and Internet Architecture (cs.NI),https://arxiv.org/abs/2601.18670,2026-01-27 17:52:59.692787
2601.18236,Limit theorems for non linear (compound marked) Hawkes processes,Benjamin Massat (IMT),in this article we fill a gap in the literature on hawkes processes in particular we derive a clt for a non linear compound marked hawkes process we also provide an upper bound on the convergence rate using the functional 1wasserstein distance this result is obtained by discretizing the time line and reducing the problem to the quantification of the distance between finite marginal vectors as well as between the discretized process and the original one,[Submitted on 26 Jan 2026],Probability (math.PR),https://arxiv.org/abs/2601.18236,2026-01-27 17:52:59.692787
2601.17518,Comparisons of policies based on relevation and replacement by a new one unit in reliability,"Belzunce, F., Martínez-Riquelme, C., Mercader, J.A., Ruiz, J.M",the purpose of this paper is to study the role of the relevation transform where a failed unit is replaced by a used unit with the same age as the failed one as an alternative to the policy based on the replacement by a new one in particular we compare the stochastic processes arising from a policy based on the replacement of a failed unit by a new one and from the one in which the unit is being continuously subjected to a relevation policy the comparisons depend on the aging properties of the units under repair,[Submitted on 24 Jan 2026],Statistics Theory (math.ST),https://arxiv.org/abs/2601.17518,2026-01-27 17:52:59.692787
2601.1834,Beyond Rigid: Benchmarking Non-Rigid Video Editing,"Bingzheng Qu, Kehai Chen, Xuefeng Bai, Jun Yu, Min Zhang",despite the remarkable progress in textdriven video editing generating coherent nonrigid deformations remains a critical challenge often plagued by physical distortion and temporal flicker to bridge this gap we propose nrvbench the first dedicated and comprehensive benchmark designed to evaluate nonrigid video editing first we curate a highquality dataset consisting of 180 nonrigid motion videos from six physicsbased categories equipped with 2340 finegrained task instructions and 360 multiplechoice questions second we propose nrveacc a novel evaluation metric based on visionlanguage models that can rigorously assess physical compliance temporal consistency and instruction alignment overcoming the limitations of general metrics in capturing complex dynamics third we introduce a trainingfree baseline vmedit which utilizes a dualregion denoising mechanism to achieve structureaware control balancing structural preservation and dynamic deformation extensive experiments demonstrate that while current methods have shortcomings in maintaining physical plausibility our method achieves excellent performance across both standard and proposed metrics we believe the benchmark could serve as a standard testing platform for advancing physicsaware video editing,[Submitted on 26 Jan 2026],Computer Vision and Pattern Recognition (cs.CV),https://arxiv.org/abs/2601.18340,2026-01-27 17:52:59.692787
2601.17579,Characterisation of homogenisation for nonlocal diffusion by local topologies,"Andreas Buchinger, Krešimir Burazin, Ivana Crnjac, Marko Erceg, Maja Jolić, Marcus Waurick",we consider fractional variants of divergence form problems with highly oscillatory local coefficients we characterise the convergence of these coefficients by means of classical hconvergence covering the local behaviour of the fractional divergence form problem and weakast convergence on the complement caused by the nonlocality of the differential operators the results are further described in the light of nonlocal hconvergence as introduced in waurick calc var pdes 57 2018 and certain schur topologies applications to symmetric coefficients and a homogenisation problem for a fractional heat type equation are provided,[Submitted on 24 Jan 2026],Analysis of PDEs (math.AP),https://arxiv.org/abs/2601.17579,2026-01-27 17:52:59.692787
